"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000006","PUBLISHED","2001","EMR","DJI"," 1 000 [<1000- 1 400]","1000","","1400",""
"HIV_0000000006","PUBLISHED","2001","EUR","DNK","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","DOM"," 4 000 [2 800- 5 000]","4000","2800","5000",""
"HIV_0000000006","PUBLISHED","2001","EUR","EST","<100 [<100-<200]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","ETH","100 000 [89 000-110 000]","100000","89000","110000",""
"HIV_0000000006","PUBLISHED","2001","EUR","FIN","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","WPR","FJI","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","GHA","18 000 [15 000-22 000]","18000","15000","22000",""
"HIV_0000000006","PUBLISHED","2001","AFR","GIN"," 5 100 [2 800-10 000]","5100","2800","10000",""
"HIV_0000000006","PUBLISHED","2001","AFR","GMB","<500 [<200-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","GNB","<1000 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","HND"," 7 000 [5 300- 9 100]","7000","5300","9100",""
"HIV_0000000006","PUBLISHED","2001","EUR","HRV","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","HTI","12 000 [9 400-14 000]","12000","9400","14000",""
"HIV_0000000006","PUBLISHED","2001","EUR","HUN","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","ISR","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","ITA","<1000 [<1000-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","JAM"," 3 100 [2 100- 4 300]","3100","2100","4300",""
"HIV_0000000006","PUBLISHED","2001","WPR","JPN","<200 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","WPR","KOR","<100 [<100-<200]","","","",""
"HIV_0000000006","PUBLISHED","2001","WPR","LAO","<200 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","EMR","LBN","<100 [<100-<200]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","LBR"," 2 500 [1 400- 4 100]","2500","1400","4100",""
"HIV_0000000006","PUBLISHED","2001","EUR","LVA","<200 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","EMR","MAR","<1000 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","MDA","<1000 [<1000- 1 200]","","","1200",""
